Accident_Id,crash_date,traffic_control_device,weather_condition,lighting_condition,trafficway_type,alignment,damage,prim_contributory_cause,num_units,Urban_or_Rural_Area,most_severe_injury,Accident_Severity,injuries_total,injuries_fatal,injuries_Serious,injuries_Slight,injuries_no_indication,crash_hour,crash_day_of_week,crash_month
200701BS64157,07/29/2023,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,NOT DIVIDED,STRAIGHT AND LEVEL,"$501 - $1,500",UNABLE TO DETERMINE,2,Urban,NO INDICATION OF INJURY,Serious,0,0,0,0,3,13,7,7
200701BS65737,08/13/2023,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",FOUR WAY,STRAIGHT AND LEVEL,"OVER $1,500",IMPROPER TURNING/NO SIGNAL,2,Urban,NO INDICATION OF INJURY,Serious,0,0,0,0,2,0,1,8
200701BS66127,12-09-2021 00:00,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,T-INTERSECTION,STRAIGHT AND LEVEL,"$501 - $1,500",FOLLOWING TOO CLOSELY,3,Urban,NO INDICATION OF INJURY,Serious,0,0,0,0,3,10,5,12
200701BS66128,08-09-2023 00:00,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,FOUR WAY,STRAIGHT AND LEVEL,"OVER $1,500",UNABLE TO DETERMINE,2,Urban,NONINCAPACITATING INJURY,Serious,5,0,0,5,0,19,4,8
200701BS66837,08/19/2023,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,T-INTERSECTION,STRAIGHT AND LEVEL,"$501 - $1,500",DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,3,14,7,8
200701BS67159,09-06-2023 00:00,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,STRAIGHT AND LEVEL,"$501 - $1,500",UNABLE TO DETERMINE,1,Urban,NONINCAPACITATING INJURY,Serious,2,0,0,2,0,0,4,9
200701BS67207,12/20/2022,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,FOUR WAY,STRAIGHT AND LEVEL,"$501 - $1,500",IMPROPER BACKING,2,Urban,NO INDICATION OF INJURY,Serious,0,0,0,0,2,11,3,12
200701BS67370,09/20/2023,NO CONTROLS,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),"CURVE, LEVEL","OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,Urban,NONINCAPACITATING INJURY,Fatal,1,0,0,1,1,14,4,9
200701BS67515,06-04-2018 00:00,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,NOT DIVIDED,STRAIGHT AND LEVEL,"OVER $1,500",FOLLOWING TOO CLOSELY,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,3,18,2,6
200701BS67543,09-07-2023 00:00,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,FOUR WAY,STRAIGHT AND LEVEL,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,4,17,5,9
